group_label,merged_titles_text,common_introduction,common_business_scenario,title_focuses,title_count,bucket_mix
产业运营与线下基础设施,合作、抗压、Travel / Hospitality、Logistics / Supply Chain、Manufacturing / Industrial、Energy / Utilities、Real Estate / PropTech、Telecom,这组标题描述的是围绕线下运营、供应链和基础设施的行业场景，强调流程协同和服务连续性。,常见于仓储运输、生产调度、能源运维、资产管理和通信服务团队，需要把复杂流程在线化并保持稳定运行。,"合作：强调协作、沟通、跨团队配合和利益相关方对齐。
抗压：强调在压力、变化和多任务环境下保持稳定推进、节奏控制和质量把关。
Travel / Hospitality：强调出行、预订和服务履约体验。
Logistics / Supply Chain：强调仓储、运输和供应链协同。
Manufacturing / Industrial：强调生产流程、设备协同和制造数字化。
Energy / Utilities：强调能源生产、调度和运营监控。
Real Estate / PropTech：强调房产交易、租赁和资产管理流程数字化。
Telecom：强调通信网络、运营支撑和服务质量保障。",8,business_domain=6、soft_skill=2
产品增长与商业化,合作、思辨与创新、Retail / E-commerce、Consumer Products / Consumer Internet、Media / Advertising、Gaming / Entertainment、B2B / B2C,这组标题描述的是面向用户增长和商业化转化的业务场景，强调产品、内容和运营协同。,常见于增长、营销、内容和商业化团队，需要把用户触达、转化和留存串成闭环。,"合作：强调协作、沟通、跨团队配合和利益相关方对齐。
思辨与创新：强调结构化分析、问题拆解、学习迁移和提出更优方案。
Retail / E-commerce：强调商品、交易、订单和用户增长链路。
Consumer Products / Consumer Internet：强调面向大众用户的产品增长和体验优化。
Media / Advertising：强调内容分发、投放效果和商业化转化。
Gaming / Entertainment：强调内容玩法、用户留存和实时体验。
B2B / B2C：强调同时兼顾企业客户和个人用户的产品设计与交付。",7,business_domain=5、soft_skill=2
公共服务与受监管行业,思辨与创新、管理/领导、Education / EdTech、Healthcare、Public Sector / Government、Travel / Hospitality、Life Sciences / Biotech,这组标题描述的是受监管或强流程行业中的数字化场景，强调合规、服务质量和流程规范。,常见于政务、教育、医疗和科研相关团队，需要在满足监管和流程要求的前提下提升服务效率。,"思辨与创新：强调结构化分析、问题拆解、学习迁移和提出更优方案。
管理/领导：强调带人、推进闭环、承担结果和驱动团队前进。
Education / EdTech：强调教学、学习和教育运营流程的数字化。
Healthcare：强调医疗流程、合规与服务效率优化。
Public Sector / Government：强调政务流程、公共服务和合规交付。
Travel / Hospitality：强调出行、预订和服务履约体验。
Life Sciences / Biotech：强调研发、试验和监管合规。",7,business_domain=5、soft_skill=2
平台架构与工程治理,思辨与创新、Software Engineering、管理/领导、Database Systems、Full-Stack Development、Data Engineering、Architecture / Systems、Backend Development、Frontend Development、Web Development,这组标题描述的是保障平台长期演进的工程治理能力，强调架构、稳定性、质量和边界控制。,常见于复杂系统、容量规划、稳定性治理和规范化开发场景，团队需要既能落地功能，也能守住系统底线。,"思辨与创新：强调结构化分析、问题拆解、学习迁移和提出更优方案。
Software Engineering：强调从需求到上线的端到端工程方法，关注可维护性、可扩展性和持续交付。
管理/领导：强调带人、推进闭环、承担结果和驱动团队前进。
Database Systems：强调数据建模、事务一致性、查询效率和存储治理。
Full-Stack Development：强调前后端协同实现和一体化交付。
Data Engineering：强调数据采集、清洗、建模和管道治理。
Architecture / Systems：强调系统拆分、扩展性、容量规划和长期演进。
Backend Development：强调服务端业务逻辑、接口设计和数据读写。
Frontend Development：强调页面交互、组件组织和用户体验呈现。
Web Development：强调 Web 页面、应用交互和浏览器端交付链路。",10,generalized_tech=8、soft_skill=2
数据平台与分析决策,思辨与创新、Database Systems、Data Science / Analytics、Data Engineering、Architecture / Systems,这组标题描述的是把业务数据转成可查询、可分析、可决策的资产，覆盖存储、加工、建模和解释。,常见于报表、数仓、指标体系、实验分析和数据治理场景，团队需要兼顾稳定性与分析效率。,"思辨与创新：强调结构化分析、问题拆解、学习迁移和提出更优方案。
Database Systems：强调数据建模、事务一致性、查询效率和存储治理。
Data Science / Analytics：强调把数据转成洞察、指标和决策建议。
Data Engineering：强调数据采集、清洗、建模和管道治理。
Architecture / Systems：强调系统拆分、扩展性、容量规划和长期演进。",5,generalized_tech=4、soft_skill=1
数据驱动与实验分析,合作、思辨与创新、Database Systems、Data Science / Analytics、Data Engineering,这组标题描述的是用数据评估产品和业务效果的分析场景，强调从采集到解释的完整链路。,常见于实验分析、指标监控、增长分析和经营复盘团队，需要把数据结果转成可行动建议。,"合作：强调协作、沟通、跨团队配合和利益相关方对齐。
思辨与创新：强调结构化分析、问题拆解、学习迁移和提出更优方案。
Database Systems：强调数据建模、事务一致性、查询效率和存储治理。
Data Science / Analytics：强调把数据转成洞察、指标和决策建议。
Data Engineering：强调数据采集、清洗、建模和管道治理。",5,generalized_tech=3、soft_skill=2
自驱成长与执行质量,思辨与创新、管理/领导、抗压,这组标题描述的是个人的工作方式和执行质量，强调自驱、节奏控制和持续改进。,常见于快速变化或高不确定性的工作环境，团队需要成员能够独立推进任务并持续提升结果质量。,"思辨与创新：强调结构化分析、问题拆解、学习迁移和提出更优方案。
管理/领导：强调带人、推进闭环、承担结果和驱动团队前进。
抗压：强调在压力、变化和多任务环境下保持稳定推进、节奏控制和质量把关。",3,soft_skill=3
行业数字化转型,Enterprise Software / SaaS、Risk / Fraud / Credit、Finance / FinTech、Education / EdTech、Healthcare、Public Sector / Government、Retail / E-commerce、Consumer Products / Consumer Internet、Media / Advertising、Travel / Hospitality、Logistics / Supply Chain、Banking、Trading、Manufacturing / Industrial、Energy / Utilities、Life Sciences / Biotech、Gaming / Entertainment、B2B / B2C、Real Estate / PropTech、Telecom,这组标题描述的是业务所处的行业和场景，强调在特定行业约束下把通用产品和流程数字化。,常见于需要理解行业规则、交易流程、监管要求或用户行为的团队，重点是把平台能力落到具体行业语境里。,"Enterprise Software / SaaS：强调面向企业客户的标准化产品交付和多租户能力。
Risk / Fraud / Credit：强调风险识别、欺诈防控和授信决策。
Finance / FinTech：强调金融业务数字化、支付结算和资金流转场景。
Education / EdTech：强调教学、学习和教育运营流程的数字化。
Healthcare：强调医疗流程、合规与服务效率优化。
Public Sector / Government：强调政务流程、公共服务和合规交付。
Retail / E-commerce：强调商品、交易、订单和用户增长链路。
Consumer Products / Consumer Internet：强调面向大众用户的产品增长和体验优化。
Media / Advertising：强调内容分发、投放效果和商业化转化。
Travel / Hospitality：强调出行、预订和服务履约体验。
Logistics / Supply Chain：强调仓储、运输和供应链协同。
Banking：强调账户、授信、支付和资金安全。
Trading：强调行情、订单、撮合和交易执行。
Manufacturing / Industrial：强调生产流程、设备协同和制造数字化。
Energy / Utilities：强调能源生产、调度和运营监控。
Life Sciences / Biotech：强调研发、试验和监管合规。
Gaming / Entertainment：强调内容玩法、用户留存和实时体验。
B2B / B2C：强调同时兼顾企业客户和个人用户的产品设计与交付。
Real Estate / PropTech：强调房产交易、租赁和资产管理流程数字化。
Telecom：强调通信网络、运营支撑和服务质量保障。",20,business_domain=20
跨团队协作与项目推进,合作、思辨与创新、管理/领导,这组标题描述的是团队协作、对齐和推进结果的能力，强调跨角色沟通和共同闭环。,常见于需求推进、方案评审、里程碑管理和协作交付场景，团队需要把不同角色拉到同一目标上。,"合作：强调协作、沟通、跨团队配合和利益相关方对齐。
思辨与创新：强调结构化分析、问题拆解、学习迁移和提出更优方案。
管理/领导：强调带人、推进闭环、承担结果和驱动团队前进。",3,soft_skill=3
软件研发与产品交付,Software Engineering、Enterprise Software / SaaS、Full-Stack Development、Architecture / Systems、Backend Development、Frontend Development、Web Development、B2B / B2C,这组标题描述的是把业务需求转成可维护软件产品的研发链路，强调设计、实现、联调和上线的完整交付。,常见于企业内部平台、SaaS 产品和面向用户的业务系统，团队需要在功能、性能和可维护性之间平衡。,"Software Engineering：强调从需求到上线的端到端工程方法，关注可维护性、可扩展性和持续交付。
Enterprise Software / SaaS：强调面向企业客户的标准化产品交付和多租户能力。
Full-Stack Development：强调前后端协同实现和一体化交付。
Architecture / Systems：强调系统拆分、扩展性、容量规划和长期演进。
Backend Development：强调服务端业务逻辑、接口设计和数据读写。
Frontend Development：强调页面交互、组件组织和用户体验呈现。
Web Development：强调 Web 页面、应用交互和浏览器端交付链路。
B2B / B2C：强调同时兼顾企业客户和个人用户的产品设计与交付。",8,generalized_tech=6、business_domain=2
金融科技与风控交易,合作、思辨与创新、管理/领导、Risk / Fraud / Credit、Finance / FinTech、Banking、Trading,这组标题描述的是金融业务的交易、资金、风控和合规场景，强调高可信度和高准确性。,常见于支付、授信、结算、交易和风险控制团队，需要同时满足业务效率、合规与稳定性。,"合作：强调协作、沟通、跨团队配合和利益相关方对齐。
思辨与创新：强调结构化分析、问题拆解、学习迁移和提出更优方案。
管理/领导：强调带人、推进闭环、承担结果和驱动团队前进。
Risk / Fraud / Credit：强调风险识别、欺诈防控和授信决策。
Finance / FinTech：强调金融业务数字化、支付结算和资金流转场景。
Banking：强调账户、授信、支付和资金安全。
Trading：强调行情、订单、撮合和交易执行。",7,business_domain=4、soft_skill=3
高变化环境下的个人执行,合作、思辨与创新、管理/领导、抗压,这组标题描述的是高变化环境里的个人执行方式，强调快速调整、独立推进和持续优化。,常见于目标变化快、协同链路长或需要不断试错的团队，成员既要能自我驱动，也要能把事情落到结果上。,"合作：强调协作、沟通、跨团队配合和利益相关方对齐。
思辨与创新：强调结构化分析、问题拆解、学习迁移和提出更优方案。
管理/领导：强调带人、推进闭环、承担结果和驱动团队前进。
抗压：强调在压力、变化和多任务环境下保持稳定推进、节奏控制和质量把关。",4,soft_skill=4
